step,train_loss,val_loss,lr
1000,4.1058,4.0491,6.00e-04
2000,3.5862,3.5076,5.99e-04
3000,3.4253,3.3122,5.98e-04
4000,3.3132,3.2545,5.97e-04
5000,3.2497,3.1741,5.95e-04
6000,3.2087,3.1330,5.92e-04
7000,3.1608,3.0749,5.89e-04
8000,3.1448,3.0422,5.85e-04
9000,3.0990,3.0177,5.81e-04
10000,3.0928,2.9992,5.77e-04
11000,3.0416,2.9911,5.72e-04
12000,3.0452,2.9572,5.66e-04
13000,3.0231,2.9415,5.60e-04
14000,2.9981,2.9290,5.54e-04
15000,3.0142,2.9054,5.47e-04
16000,3.0024,2.8866,5.40e-04
17000,2.9883,2.8884,5.32e-04
18000,2.9727,2.8697,5.24e-04
19000,2.9645,2.8713,5.16e-04
20000,2.9439,2.8314,5.07e-04
21000,2.9431,2.8464,4.98e-04
22000,2.9363,2.8736,4.88e-04
23000,2.9256,2.8343,4.78e-04
24000,2.9288,2.8232,4.68e-04
25000,2.9081,2.8186,4.58e-04
26000,2.8998,2.8090,4.48e-04
27000,2.9132,2.8165,4.37e-04
28000,2.8973,2.7898,4.26e-04
29000,2.8872,2.8032,4.15e-04
30000,2.8658,2.7852,4.03e-04
31000,2.8787,2.7654,3.92e-04
32000,2.8747,2.7538,3.80e-04
33000,2.8641,2.7567,3.68e-04
34000,2.8610,2.7921,3.57e-04
35000,2.8656,2.7730,3.45e-04
36000,2.8525,2.7453,3.33e-04
37000,2.8313,2.7383,3.21e-04
38000,2.8490,2.7423,3.09e-04
39000,2.8454,2.7067,2.97e-04
40000,2.8397,2.7411,2.86e-04
41000,2.8058,2.7441,2.74e-04
42000,2.7853,2.7316,2.63e-04
43000,2.8205,2.7381,2.51e-04
44000,2.8154,2.7254,2.40e-04
45000,2.8193,2.6966,2.29e-04
46000,2.7972,2.7037,2.18e-04
47000,2.7873,2.7030,2.07e-04
48000,2.7541,2.7039,1.97e-04
49000,2.7736,2.6701,1.87e-04
50000,2.7950,2.7044,1.77e-04
51000,2.7583,2.6669,1.67e-04
52000,2.7439,2.6501,1.58e-04
53000,2.7419,2.6743,1.49e-04
54000,2.7433,2.6682,1.40e-04
55000,2.7447,2.6621,1.32e-04
56000,2.7364,2.6591,1.24e-04
57000,2.7451,2.6391,1.17e-04
58000,2.7313,2.6512,1.09e-04
59000,2.7311,2.6342,1.03e-04
