step,train_loss,val_loss,lr
1000,4.1158,4.0440,6.00e-04
2000,3.5906,3.5278,5.99e-04
3000,3.4313,3.3431,5.98e-04
4000,3.3153,3.2307,5.97e-04
5000,3.2416,3.1853,5.95e-04
6000,3.1977,3.1186,5.92e-04
7000,3.1647,3.0781,5.89e-04
8000,3.1418,3.0538,5.85e-04
9000,3.0924,3.0061,5.81e-04
10000,3.0705,2.9972,5.77e-04
11000,3.0610,2.9855,5.72e-04
12000,3.0466,2.9566,5.66e-04
13000,3.0290,2.9403,5.60e-04
14000,3.0297,2.9236,5.54e-04
15000,3.0157,2.9037,5.47e-04
16000,2.9820,2.9025,5.40e-04
17000,2.9947,2.8976,5.32e-04
18000,2.9609,2.8918,5.24e-04
19000,2.9629,2.8841,5.16e-04
20000,2.9595,2.8654,5.07e-04
21000,2.9439,2.8496,4.98e-04
22000,2.9366,2.8665,4.88e-04
23000,2.9384,2.8102,4.78e-04
24000,2.9285,2.8334,4.68e-04
25000,2.8927,2.8092,4.58e-04
26000,2.9195,2.8318,4.48e-04
27000,2.9004,2.8451,4.37e-04
28000,2.9105,2.8182,4.26e-04
29000,2.8766,2.7903,4.15e-04
30000,2.8654,2.7892,4.03e-04
31000,2.8722,2.8044,3.92e-04
32000,2.8544,2.7767,3.80e-04
33000,2.8779,2.7746,3.68e-04
34000,2.8493,2.7730,3.57e-04
35000,2.8495,2.7555,3.45e-04
36000,2.8344,2.7556,3.33e-04
37000,2.8397,2.7486,3.21e-04
38000,2.8328,2.7343,3.09e-04
39000,2.8216,2.7335,2.97e-04
40000,2.8489,2.6905,2.86e-04
41000,2.8126,2.7178,2.74e-04
42000,2.8165,2.7462,2.63e-04
43000,2.8230,2.7254,2.51e-04
44000,2.7858,2.7139,2.40e-04
45000,2.8017,2.6995,2.29e-04
46000,2.7917,2.6937,2.18e-04
47000,2.7690,2.6791,2.07e-04
48000,2.7765,2.6817,1.97e-04
49000,2.7813,2.6881,1.87e-04
50000,2.7806,2.6765,1.77e-04
51000,2.7616,2.6617,1.67e-04
52000,2.7851,2.6843,1.58e-04
53000,2.7875,2.6824,1.49e-04
54000,2.7532,2.6552,1.40e-04
55000,2.7416,2.6410,1.32e-04
