step,train_loss,val_loss,lr
1000,4.1129,4.1630,6.00e-04
2000,3.4720,3.5749,5.99e-04
3000,3.2626,3.4377,5.98e-04
4000,3.1239,3.3266,5.97e-04
5000,3.0437,3.2700,5.95e-04
6000,2.9924,3.2224,5.92e-04
7000,2.9929,3.1727,5.89e-04
8000,2.9574,3.1437,5.85e-04
9000,2.9015,3.1142,5.81e-04
10000,2.8985,3.0981,5.77e-04
11000,2.8953,3.0789,5.72e-04
12000,2.8627,3.0871,5.66e-04
13000,2.8794,3.0481,5.60e-04
14000,2.8659,3.0192,5.54e-04
15000,2.8692,3.0181,5.47e-04
16000,2.8148,3.0122,5.40e-04
17000,2.8235,2.9858,5.32e-04
18000,2.8253,2.9680,5.24e-04
19000,2.7791,2.9710,5.16e-04
20000,2.7301,2.9800,5.07e-04
21000,2.7783,2.9745,4.98e-04
22000,2.7532,2.9516,4.88e-04
23000,2.7529,2.9655,4.78e-04
24000,2.7428,2.9431,4.68e-04
25000,2.7492,2.9373,4.58e-04
26000,2.7256,2.9266,4.48e-04
27000,2.7627,2.9338,4.37e-04
28000,2.7327,2.9480,4.26e-04
29000,2.7113,2.9275,4.15e-04
30000,2.6917,2.9129,4.03e-04
31000,2.7233,2.8773,3.92e-04
32000,2.6815,2.8839,3.80e-04
33000,2.6772,2.8796,3.68e-04
34000,2.6668,2.8968,3.57e-04
35000,2.6938,2.8757,3.45e-04
36000,2.6644,2.8393,3.33e-04
37000,2.6988,2.8595,3.21e-04
38000,2.6706,2.8600,3.09e-04
39000,2.6408,2.8706,2.97e-04
40000,2.6380,2.8470,2.86e-04
41000,2.6346,2.8496,2.74e-04
42000,2.6385,2.8509,2.63e-04
43000,2.6412,2.8224,2.51e-04
44000,2.6183,2.8229,2.40e-04
45000,2.5919,2.8139,2.29e-04
46000,2.5890,2.8177,2.18e-04
47000,2.6242,2.8320,2.07e-04
48000,2.5833,2.8216,1.97e-04
49000,2.5977,2.8077,1.87e-04
50000,2.5766,2.8068,1.77e-04
51000,2.5961,2.8071,1.67e-04
52000,2.5410,2.8090,1.58e-04
53000,2.6067,2.7906,1.49e-04
54000,2.5814,2.7725,1.40e-04
55000,2.5392,2.7580,1.32e-04
56000,2.5854,2.7572,1.24e-04
57000,2.5558,2.7671,1.17e-04
58000,2.5607,2.7487,1.09e-04
59000,2.5613,2.7672,1.03e-04
60000,2.5753,2.7445,9.67e-05
