step,train_loss,val_loss,lr
1000,4.1301,4.1405,6.00e-04
2000,3.4579,3.5677,5.99e-04
3000,3.2446,3.4323,5.98e-04
4000,3.1280,3.3179,5.97e-04
5000,3.0569,3.2739,5.95e-04
6000,3.0665,3.2311,5.92e-04
7000,2.9713,3.1646,5.89e-04
8000,2.9614,3.1768,5.85e-04
9000,2.9597,3.1328,5.81e-04
10000,2.8889,3.1151,5.77e-04
11000,2.8965,3.1122,5.72e-04
12000,2.9005,3.0675,5.66e-04
13000,2.8531,3.0720,5.60e-04
14000,2.8372,3.0640,5.54e-04
15000,2.8269,3.0385,5.47e-04
16000,2.8140,3.0125,5.40e-04
17000,2.7990,3.0060,5.32e-04
18000,2.7834,2.9993,5.24e-04
19000,2.8290,2.9994,5.16e-04
20000,2.7831,2.9706,5.07e-04
21000,2.7332,2.9624,4.98e-04
22000,2.7623,2.9998,4.88e-04
23000,2.7537,2.9572,4.78e-04
24000,2.7450,2.9697,4.68e-04
25000,2.7356,2.9404,4.58e-04
26000,2.7203,2.9320,4.48e-04
27000,2.7359,2.9339,4.37e-04
28000,2.6986,2.9218,4.26e-04
29000,2.7254,2.9152,4.15e-04
30000,2.6738,2.8969,4.03e-04
31000,2.7239,2.9064,3.92e-04
32000,2.7298,2.9217,3.80e-04
33000,2.6747,2.8597,3.68e-04
34000,2.7232,2.8883,3.57e-04
35000,2.6994,2.8801,3.45e-04
36000,2.6656,2.8896,3.33e-04
37000,2.6798,2.8869,3.21e-04
38000,2.6783,2.8426,3.09e-04
39000,2.6383,2.8624,2.97e-04
40000,2.6677,2.8485,2.86e-04
41000,2.6600,2.8505,2.74e-04
42000,2.6386,2.8412,2.63e-04
43000,2.6429,2.8444,2.51e-04
44000,2.6114,2.8246,2.40e-04
45000,2.6225,2.8165,2.29e-04
46000,2.6346,2.8217,2.18e-04
47000,2.6156,2.8139,2.07e-04
48000,2.6118,2.8201,1.97e-04
49000,2.6330,2.8015,1.87e-04
50000,2.6065,2.8083,1.77e-04
51000,2.6231,2.8062,1.67e-04
52000,2.6028,2.7853,1.58e-04
53000,2.5828,2.7709,1.49e-04
54000,2.5938,2.7856,1.40e-04
55000,2.5504,2.7829,1.32e-04
56000,2.5930,2.7609,1.24e-04
57000,2.5590,2.7519,1.17e-04
58000,2.5656,2.7613,1.09e-04
59000,2.5998,2.7679,1.03e-04
60000,2.5433,2.7551,9.67e-05
