step,train_loss,val_loss,lr
500,4.8825,4.8815,6.00e-04
1000,4.2181,4.2069,5.99e-04
1500,3.8381,3.8171,5.96e-04
2000,3.6519,3.6384,5.90e-04
2500,3.5478,3.5160,5.83e-04
3000,3.4439,3.4241,5.73e-04
3500,3.3747,3.3931,5.62e-04
4000,3.3297,3.3411,5.48e-04
4500,3.2699,3.2719,5.33e-04
5000,3.2354,3.2393,5.17e-04
5500,3.2254,3.1969,4.98e-04
6000,3.1769,3.1615,4.79e-04
6500,3.1569,3.1504,4.58e-04
7000,3.1514,3.1185,4.36e-04
7500,3.1025,3.0926,4.13e-04
8000,3.0588,3.0853,3.90e-04
8500,3.1078,3.0684,3.66e-04
9000,3.0684,3.0532,3.42e-04
9500,3.0266,2.9956,3.18e-04
10000,3.0680,3.0021,2.94e-04
10500,3.0226,3.0077,2.70e-04
11000,2.9874,2.9538,2.47e-04
11500,2.9956,2.9802,2.24e-04
12000,3.0014,2.9621,2.02e-04
12500,2.9500,2.9730,1.81e-04
13000,2.9649,2.9433,1.62e-04
13500,2.9515,2.9372,1.43e-04
14000,2.9270,2.8966,1.27e-04
14500,2.9173,2.8900,1.12e-04
